avg_prediction_words,deletions,exact_match,function_word_error_rate,insertions,non_empty_ratio,prediction_path,prediction_reference_length_ratio,rare_word_error_rate,substitutions,system,utterances,wer,wer_duration_10-15s,wer_duration_5-10s,wer_duration_ge15s,wer_duration_lt5s
17.664146438519698,684,45,0.11565480609972015,725,1.0,results/predictions/deep_dive/e13_layer10_bilstm_ctc_dev.jsonl,1.000924485332251,0.6249218261413383,10547,e13_layer10_bilstm_ctc,2513,0.2695889422534894,0.2253709082345553,0.24097294239653058,,0.38216621777606774
20.149236641221375,764,56,0.12404397705544933,979,1.0,results/predictions/deep_dive/e13_layer10_bilstm_ctc_test.jsonl,1.004089318320146,0.6208967732923593,12989,e13_layer10_bilstm_ctc,2620,0.280203895313451,0.23563356576100025,0.2718909332742186,0.2341263193164684,0.4043688840565385
17.55272582570633,1513,4,0.26563481638014735,1274,1.0,results/predictions/deep_dive/e13_layer11_bilstm_ctc_dev.jsonl,0.9946109269656588,0.801594746716698,17371,e13_layer11_bilstm_ctc,2513,0.4545311055491668,0.4052908391553497,0.4312246629584237,,0.5624278568680262
20.076335877862597,1611,7,0.25803059273422563,1635,1.0,results/predictions/deep_dive/e13_layer11_bilstm_ctc_test.jsonl,1.0004564820450395,0.7819527867020534,20271,e13_layer11_bilstm_ctc,2620,0.4472953438831406,0.4051454676604953,0.44374861449789404,0.3934494890266376,0.5691410497182959
17.284122562674096,2539,4,0.4413730081672283,1625,1.0,results/predictions/deep_dive/e13_layer1_bilstm_ctc_dev.jsonl,0.9793907416176239,0.8864915572232646,22543,e13_layer1_bilstm_ctc,2513,0.6022007260592122,0.5881937357720386,0.5850853210144245,,0.6542901115813774
19.814885496183205,2775,3,0.42523900573613765,2114,1.0,results/predictions/deep_dive/e13_layer1_bilstm_ctc_test.jsonl,0.987427723676202,0.8812683335661405,26485,e13_layer1_bilstm_ctc,2620,0.5967361533779671,0.5821912318666346,0.5907226778984704,0.5784888591053778,0.646930908372047
17.448070035813767,2156,1,0.3843737506425267,1654,1.0,results/predictions/deep_dive/e13_layer2_bilstm_ctc_dev.jsonl,0.9886806917856096,0.8591307066916823,20579,e13_layer2_bilstm_ctc,2513,0.5499334821529234,0.5338723604678546,0.5303573112095786,,0.6095613697575991
20.050763358778624,2321,5,0.38197896749521987,2278,1.0,results/predictions/deep_dive/e13_layer2_bilstm_ctc_test.jsonl,0.9991821363359707,0.8513758904874983,24615,e13_layer2_bilstm_ctc,2620,0.5556527693244065,0.5398733669952713,0.5528153402793172,0.5325850226168537,0.6073934960956805
17.524472741742937,1914,8,0.34073904848934833,1604,1.0,results/predictions/deep_dive/e13_layer3_bilstm_ctc_dev.jsonl,0.9930099889512729,0.8289555972482802,19029,e13_layer3_bilstm_ctc,2513,0.5083992874698415,0.4835544391239501,0.48944093523145094,,0.5775298191612158
20.06641221374046,2107,7,0.33451242829827915,2105,1.0,results/predictions/deep_dive/e13_layer3_bilstm_ctc_test.jsonl,0.99996195982958,0.8202262885877916,22657,e13_layer3_bilstm_ctc,2620,0.5110506695069994,0.48922016510379096,0.5094768344047883,0.4792260010051935,0.5783334980725512
17.504576203740548,1765,13,0.2980752755725627,1405,1.0,results/predictions/deep_dive/e13_layer4_bilstm_ctc_dev.jsonl,0.9918825678143813,0.790650406504065,17208,e13_layer4_bilstm_ctc,2513,0.4594917585514893,0.4277415809718188,0.4311303855944188,,0.5562716429395922
20.05381679389313,1908,13,0.29201720841300194,1873,1.0,results/predictions/deep_dive/e13_layer4_bilstm_ctc_test.jsonl,0.9993342970176506,0.7858639474786981,20658,e13_layer4_bilstm_ctc,2620,0.46483186244674374,0.4321551655045283,0.4598758590113057,0.4231864633942034,0.56311159434615
17.615200955033824,1319,25,0.23684962019532813,1237,1.0,results/predictions/deep_dive/e13_layer5_bilstm_ctc_dev.jsonl,0.9981510293354979,0.7321763602251408,14552,e13_layer5_bilstm_ctc,2513,0.38575841619878687,0.34366904780595026,0.3544357499764307,,0.5012504809542132
20.090076335877864,1523,19,0.232887189292543,1583,1.0,results/predictions/deep_dive/e13_layer5_bilstm_ctc_test.jsonl,1.001141205112599,0.7228663221120268,17445,e13_layer5_bilstm_ctc,2620,0.39088177115033473,0.3487216478320109,0.3891044114387054,0.33355670966661083,0.5136898290006919
17.66016713091922,588,154,0.11091438688674396,619,1.0,results/predictions/deep_dive/e13_layer7_bilstm_ctc_dev.jsonl,1.0006990011048726,0.5512820512820513,8628,e13_layer7_bilstm_ctc,2513,0.22176373762655302,0.17929193814271135,0.18930894692184408,,0.34003462870334744
20.13473282442748,665,165,0.11324091778202677,842,1.0,results/predictions/deep_dive/e13_layer7_bilstm_ctc_test.jsonl,1.0033665550821669,0.5527308283279788,10601,e13_layer7_bilstm_ctc,2620,0.2302951917224589,0.1914723090486495,0.21608290844602085,0.18277768470430558,0.35959276465355344
17.65340230799841,445,241,0.07773145239591067,459,1.0,results/predictions/deep_dive/e13_layer8_bilstm_ctc_dev.jsonl,1.0003156779183295,0.5056285178236398,7195,e13_layer8_bilstm_ctc,2513,0.18261967575368104,0.14498783263992465,0.1539077967380032,,0.2873220469411312
20.14351145038168,501,226,0.08804971319311664,701,1.0,results/predictions/deep_dive/e13_layer8_bilstm_ctc_test.jsonl,1.0038040170419964,0.5028635284257578,9058,e13_layer8_bilstm_ctc,2620,0.19514607425441266,0.15732948625470866,0.1861560629572157,0.15170045233707488,0.3090837204704952
17.65658575407879,467,194,0.08053001313610143,489,1.0,results/predictions/deep_dive/e14_layer_mixture_bilstm_ctc_dev.jsonl,1.0004960653002322,0.5275171982489055,7726,e14_layer_mixture_bilstm_ctc,2513,0.19576540620983562,0.15880367375775178,0.16960497784481945,,0.294440169295883
20.105343511450382,543,220,0.08652007648183556,643,1.0,results/predictions/deep_dive/e14_layer_mixture_bilstm_ctc_test.jsonl,1.0019020085209982,0.5183684872188853,9511,e14_layer_mixture_bilstm_ctc,2620,0.20345785149117468,0.1647832010900056,0.18986920860119708,0.16401407270899648,0.3219333794603143
16.318344608038203,3931,0,0.39031355302987036,590,0.9996020692399522,results/predictions/deep_dive/e15a_linear_layer8_ctc_dev.jsonl,0.9246657196329117,0.9441838649155723,24081,e15a_linear_layer8_ctc,2513,0.644929987147399,0.6231258340529084,0.6287357405486943,,0.704694113120431
18.434351145038168,4987,0,0.39478967495219885,709,0.9961832061068703,results/predictions/deep_dive/e15a_linear_layer8_ctc_test.jsonl,0.9186320754716981,0.9425897471713927,28544,e15a_linear_layer8_ctc,2620,0.6512477175897748,0.6261921936362908,0.643260917756595,0.6340257999664936,0.716714441039834
17.1766812574612,1760,19,0.16882746016334457,576,1.0,results/predictions/deep_dive/e15b_mlp_layer8_ctc_dev.jsonl,0.9733026674784099,0.7392120075046904,14107,e15b_mlp_layer8_ctc,2513,0.3707637150781303,0.33935159745662924,0.34604506457999434,,0.45969603693728356
19.47557251908397,2240,28,0.1767208413001912,690,0.999618320610687,results/predictions/deep_dive/e15b_mlp_layer8_ctc_test.jsonl,0.9705188679245284,0.7407459142338315,17127,e15b_mlp_layer8_ctc,2620,0.38148584905660377,0.34367235713713234,0.3708157836399911,0.3593566761601608,0.4732628249481071
17.590529247910865,641,127,0.09583642698041007,497,0.9996020692399522,results/predictions/deep_dive/e15c_bilstm_layer8_ctc_dev.jsonl,0.9967530271257525,0.5984990619136961,9289,e15c_bilstm_layer8_ctc,2513,0.23511240388734808,0.19671873773451606,0.2060903177147167,,0.3413813005001924
20.04732824427481,702,125,0.10248565965583174,650,1.0,results/predictions/deep_dive/e15c_bilstm_layer8_ctc_test.jsonl,0.9990109555690809,0.5967313870652325,11258,e15c_bilstm_layer8_ctc,2620,0.23984327449786974,0.2022120702091849,0.22816448681001994,0.1972692243256827,0.35731936344766235
17.641862315957024,469,242,0.07813124678736649,454,1.0,results/predictions/deep_dive/e15d_bilstm_layer8_ctc_dev.jsonl,0.9996617736589326,0.5021888680425266,7192,e15d_bilstm_layer8_ctc,2513,0.1829804505174863,0.14671481277965304,0.15452059960403508,,0.28549442093112737
